id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8202751,2017-10-20T20:31:44Z,2017-10-20T20:32:51Z,7.0.0 alpha 2,"This is the second alpha release of ReactiveCocoa 7.0. It supports Swift 3.2 and Swift 4.0.

## Changes
1. Requires ReactiveSwift 3.0.0 alpha 1.

2. ReactiveCocoa is now compatible with the Swift 4.0 language mode, in addition to the Swift 3.2 compatibility mode. (#3526, kudos to @andersio)",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/8202751/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/8202751,master,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/tarball/7.0.0-alpha.2,https://github.com/ReactiveCocoa/ReactiveCocoa/releases/tag/7.0.0-alpha.2,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/zipball/7.0.0-alpha.2,7.0.0-alpha.2,False,True
8033556,2017-10-07T08:25:07Z,2017-10-07T08:26:56Z,7.0.0 alpha 1,"This is the first alpha release of ReactiveCocoa 7.0. It targets Swift 3.1, Swift 3.2 and Swift 4.0.

## ReactiveMapKit

1. MapKit reactive bindings have been moved to a new **ReactiveMapKit** framework. (#3524)

   Sources that use the MapKit bindings are now required to import ReactiveMapKit.

   For all Xcode project users (including Carthage), targets need to be configured to link against ReactiveMapKit. 

   For CocoaPods users, your Podfile needs to be updated too, since the framework is offered as a standalone pod.

   ```
   pod ""ReactiveMapKit"", ""7.0.0-alpha.1""
   ```

## Special Note on CocoaPods compatibility

As at October 2017, CocoaPods has yet to officially support projects with mixed Swift language modes.

[If you fail to build ReactiveCocoa with CocoaPods, you must apply a workaround to override `SWIFT_VERSION` of ReactiveCocoa as Swift 3.2](https://github.com/CocoaPods/CocoaPods/issues/6791#issuecomment-333079766).

Visit https://github.com/CocoaPods/CocoaPods/issues/6791 for more information.",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/8033556/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/8033556,master,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/tarball/7.0.0-alpha.1,https://github.com/ReactiveCocoa/ReactiveCocoa/releases/tag/7.0.0-alpha.1,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/zipball/7.0.0-alpha.1,7.0.0-alpha.1,False,True
7834755,2017-09-21T06:24:11Z,2017-09-21T06:38:00Z,6.0.2,"This is the second maintenance release of ReactiveCocoa 6.0. It targets Swift 3.1, Swift 3.2 and Swift 4.0.

## Changes

1. Disabled code coverage data to allow app submissions with Xcode 9.0 (see https://github.com/Carthage/Carthage/issues/2056, kudos to @NachoSoto)

1. Improved CocoaPods compatibility when working with Swift 4 projects.",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/7834755/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/7834755,hotfix-6.0.2,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/tarball/6.0.2,https://github.com/ReactiveCocoa/ReactiveCocoa/releases/tag/6.0.2,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/zipball/6.0.2,6.0.2,False,False
7834704,2017-09-21T06:32:05Z,2017-09-21T06:32:41Z,6.1.0 alpha 2,"This is the second alpha release of ReactiveCocoa 6.1. It targets Swift 3.1, Swift 3.2 and Swift 4.0.

## Change

1. Improved CocoaPods compatibility when working with Swift 4 projects.",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/7834704/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/7834704,master,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/tarball/6.1.0-alpha.2,https://github.com/ReactiveCocoa/ReactiveCocoa/releases/tag/6.1.0-alpha.2,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/zipball/6.1.0-alpha.2,6.1.0-alpha.2,False,True
7779077,2017-09-16T14:14:29Z,2017-09-16T14:15:18Z,6.1.0 alpha 1,"This is the first alpha release of ReactiveCocoa 6.1. It targets Swift 3.1, Swift 3.2 and Swift 4.0.

## Change

1. Disabled code coverage data to allow app submissions with Xcode 9.0 (see https://github.com/Carthage/Carthage/issues/2056, kudos to @NachoSoto)

1. [Updated to ReactiveSwift 2.1.0 alpha 2.](https://github.com/ReactiveCocoa/ReactiveSwift/releases/tag/2.1.0-alpha.2)

## Additions

1. Added `cancelButtonClicked` signal to `UISearchBar`.

1. Subscripting `reactive` with a key path now yields a corresponding `BindingTarget` under Swift 3.2+. (#3489, kudos to @andersio)

   Example:
   ```swift
   label.reactive[\.text] <~ viewModel.title
   ```",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/7779077/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/7779077,master,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/tarball/6.1.0-alpha.1,https://github.com/ReactiveCocoa/ReactiveCocoa/releases/tag/6.1.0-alpha.1,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/zipball/6.1.0-alpha.1,6.1.0-alpha.1,False,True
7406219,2017-08-16T05:52:05Z,2017-08-16T05:53:58Z,6.0.1,"This is the first maintenance release of ReactiveCocoa 6.0. It targets the Xcode 8.3 SDK and Swift 3.1, with preliminary support of the Xcode 9 SDK, Swift 3.2 and Swift 4.0.

## Changes

1. [Xcode 9 beta 5] Fixed an issue causing infinite recursion in the Swift runtime. (#3498, kudos to @andersio)

1. Update ReactiveSwift to 2.0.1.

    https://github.com/ReactiveCocoa/ReactiveSwift/releases/tag/2.0.1",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/7406219/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/7406219,master,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/tarball/6.0.1,https://github.com/ReactiveCocoa/ReactiveCocoa/releases/tag/6.0.1,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/zipball/6.0.1,6.0.1,False,False
7126475,2017-07-21T17:01:34Z,2017-07-21T17:27:53Z,6.0.0,"This is the sixth major release of ReactiveCocoa. It supports Swift 3.1 (Xcode 8.3), and preliminarily supports Swift 3.2 and Swift 4.0 (Xcode 9).

## Hightlight
### ReactiveSwift 2.0
Please refer to [the ReactiveSwift 2.0 release note](https://github.com/ReactiveCocoa/ReactiveSwift/releases/tag/2.0.0) for more details.

## Changes
1. `NSObject` reactive extensions now work in generic environments that are limited to `NSObjectProtocol`. (#3484, kudos to @nickdomenicali)

1. `UIButton.reactive.pressed` now reacts to the `primaryActionTriggered` control event, instead of `touchUpInside`, on iOS 9.0+ and tvOS 9.0+. (#3480, kudos to @andrei-kuzma)

## Additions
1. New reactive extension for `UIScrollView`: `scrollsToTop`. (#3481, kudos to @Qata)

1. New reactive extension: `UITextField.reactive.selectedRangeValues`. (#3479, kudos to @Igor-Palaguta)",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/7126475/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/7126475,master,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/tarball/6.0.0,https://github.com/ReactiveCocoa/ReactiveCocoa/releases/tag/6.0.0,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/zipball/6.0.0,6.0.0,False,False
7011035,2017-07-12T09:42:23Z,2017-07-12T09:43:20Z,6.0.0 Release Candidate 3,"This is the third release candidate of ReactiveCocoa 6.0. It targets Swift 3.1 with preliminary support of Swift 3.2 and Swift 4.0.

## Changes

1. Updated for ReactiveSwift 2.0.0 Release Candidate 3.",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/7011035/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/7011035,master,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/tarball/6.0.0-rc.3,https://github.com/ReactiveCocoa/ReactiveCocoa/releases/tag/6.0.0-rc.3,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/zipball/6.0.0-rc.3,6.0.0-rc.3,False,True
6948874,2017-07-06T10:06:45Z,2017-07-06T10:08:15Z,6.0.0 Release Candidate 2,"This is the second release candidate of ReactiveCocoa 6.0. It targets Swift 3.1 with preliminary support of Swift 3.2 and Swift 4.0.

## Change
1. Updated for ReactiveSwift 2.0.0 Release Candidate 2.

1. `NSObject` reactive extensions now work in generic environments that are limited to `NSObjectProtocol`. (#3484, kudos to @nickdomenicali)

## Addition
1. New reactive extension for `UIScrollView`: `scrollsToTop`. (#3481, kudos to @Qata)",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/6948874/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/6948874,master,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/tarball/6.0.0-rc.2,https://github.com/ReactiveCocoa/ReactiveCocoa/releases/tag/6.0.0-rc.2,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/zipball/6.0.0-rc.2,6.0.0-rc.2,False,True
6854064,2017-06-27T18:51:54Z,2017-06-27T18:52:30Z,6.0.0 Release Candidate 1,"This is the first release candidate of ReactiveCocoa 6.0. It targets Swift 3.1 with preliminary support of Swift 3.2 and Swift 4.0.

### Changes
1. `UIButton.reactive.pressed` now reacts to the `primaryActionTriggered` control event, instead of `touchUpInside`, on iOS 9.0+ and tvOS 9.0+. (#3480, kudos to @andrei-kuzma)

1. New reactive extension: `UITextField.reactive.selectedRangeValues`. (#3479, kudos to @Igor-Palaguta)

1. Updated for ReactiveSwift 2.0 Release Candidate 1.",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/6854064/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/6854064,master,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/tarball/6.0.0-rc.1,https://github.com/ReactiveCocoa/ReactiveCocoa/releases/tag/6.0.0-rc.1,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/zipball/6.0.0-rc.1,6.0.0-rc.1,False,True
6681650,2017-06-12T13:47:48Z,2017-06-12T13:50:28Z,6.0.0 alpha 1,"This is the first alpha release of ReactiveCocoa 6.0. It targets Swift 3.1 with preliminary support of Swift 3.2 and Swift 4.0.

### Changes
1. Updated for ReactiveSwift 2.0 alpha 2.",https://api.github.com/users/andersio,11806295,andersio,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/6681650/assets,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/releases/6681650,master,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/tarball/6.0.0-alpha.1,https://github.com/ReactiveCocoa/ReactiveCocoa/releases/tag/6.0.0-alpha.1,https://api.github.com/repos/ReactiveCocoa/ReactiveCocoa/zipball/6.0.0-alpha.1,6.0.0-alpha.1,False,True
