id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8065233,2017-10-10T13:29:05Z,2017-10-10T15:55:39Z,v0.14.0,"This release introduces a couple of new changes, some including:

* New backends: AWS SSM Parameter Store and yaml/json file
* New template functions: `cget`, `cgets`, `cgetv`, `cgetvs`

Please see the [CHANGELOG](https://github.com/kelseyhightower/confd/blob/v0.14.0/CHANGELOG) for the full list of changes in v0.14.0.",https://api.github.com/users/okushchenko,8613413,okushchenko,https://api.github.com/repos/kelseyhightower/confd/releases/8065233/assets,https://api.github.com/repos/kelseyhightower/confd/releases/8065233,master,https://api.github.com/repos/kelseyhightower/confd/tarball/v0.14.0,https://github.com/kelseyhightower/confd/releases/tag/v0.14.0,https://api.github.com/repos/kelseyhightower/confd/zipball/v0.14.0,v0.14.0,False,False
7457509,2017-08-20T21:38:22Z,2017-08-20T21:57:32Z,v0.13.0,"This release introduces a couple of new changes, some including:

* A new backend: ETCD V3
* New template functions: `add`, `sub`, `div`, `mod`, `mul`, `seq`, `trimSuffix`, `base64Encode`, `base64Decode`
* Removed backend: StackEngine
* Windows support
* Nested keys support for Vault
* WaitPrefix support for Rancher backend

Please see the [CHANGELOG](https://github.com/kelseyhightower/confd/blob/v0.13.0/CHANGELOG) for the full list of changes in v0.13.0.",https://api.github.com/users/okushchenko,8613413,okushchenko,https://api.github.com/repos/kelseyhightower/confd/releases/7457509/assets,https://api.github.com/repos/kelseyhightower/confd/releases/7457509,master,https://api.github.com/repos/kelseyhightower/confd/tarball/v0.13.0,https://github.com/kelseyhightower/confd/releases/tag/v0.13.0,https://api.github.com/repos/kelseyhightower/confd/zipball/v0.13.0,v0.13.0,False,False
7340223,2017-08-09T22:03:35Z,2017-08-09T22:15:29Z,v0.12.0,"This release introduces a couple of new changes, some including:

* A new backend: Vault
* New template functions: `map`, `lookupIP`, `lookupSRV`, `fileExists` 

Please see the [CHANGELOG](https://github.com/kelseyhightower/confd/blob/v0.12.0/CHANGELOG) for the full list of changes in v0.12.0.",https://api.github.com/users/okushchenko,8613413,okushchenko,https://api.github.com/repos/kelseyhightower/confd/releases/7340223/assets,https://api.github.com/repos/kelseyhightower/confd/releases/7340223,master,https://api.github.com/repos/kelseyhightower/confd/tarball/v0.12.0,https://github.com/kelseyhightower/confd/releases/tag/v0.12.0,https://api.github.com/repos/kelseyhightower/confd/zipball/v0.12.0,v0.12.0,False,False
2677237,2016-02-24T08:42:53Z,2016-02-24T08:57:25Z,v0.12.0-alpha3,"This release adds support for the enhanced getv template function that accepts a default value.
",https://api.github.com/users/kelseyhightower,1123322,kelseyhightower,https://api.github.com/repos/kelseyhightower/confd/releases/2677237/assets,https://api.github.com/repos/kelseyhightower/confd/releases/2677237,master,https://api.github.com/repos/kelseyhightower/confd/tarball/v0.12.0-alpha3,https://github.com/kelseyhightower/confd/releases/tag/v0.12.0-alpha3,https://api.github.com/repos/kelseyhightower/confd/zipball/v0.12.0-alpha3,v0.12.0-alpha3,False,True
2662631,2016-02-21T20:53:14Z,2016-02-22T14:34:22Z,v0.12.0-alpha2,"This alpha release offers a look at the 0.12.0 release. A few bug fixes and support for custom SRV records via the `--srv-record` flag.
",https://api.github.com/users/kelseyhightower,1123322,kelseyhightower,https://api.github.com/repos/kelseyhightower/confd/releases/2662631/assets,https://api.github.com/repos/kelseyhightower/confd/releases/2662631,master,https://api.github.com/repos/kelseyhightower/confd/tarball/v0.12.0-alpha2,https://github.com/kelseyhightower/confd/releases/tag/v0.12.0-alpha2,https://api.github.com/repos/kelseyhightower/confd/zipball/v0.12.0-alpha2,v0.12.0-alpha2,False,True
2652829,2016-02-19T23:51:57Z,2016-02-20T01:19:05Z,0.12.0-alpha1,"This release includes a few new backends: vault, dynamodb, and redis. I'm cutting an alpha release now to give people a head start with testing.
",https://api.github.com/users/kelseyhightower,1123322,kelseyhightower,https://api.github.com/repos/kelseyhightower/confd/releases/2652829/assets,https://api.github.com/repos/kelseyhightower/confd/releases/2652829,master,https://api.github.com/repos/kelseyhightower/confd/tarball/0.12.0-alpha1,https://github.com/kelseyhightower/confd/releases/tag/0.12.0-alpha1,https://api.github.com/repos/kelseyhightower/confd/zipball/0.12.0-alpha1,0.12.0-alpha1,False,True
2214469,2015-12-01T16:23:39Z,2015-12-01T16:32:00Z,,"This release introduces a couple of new changes, some including:
- Rancher Metadata backend support
- StackEngine backend support
- `strings.Replace` support

Please see the [CHANGELOG](https://github.com/kelseyhightower/confd/blob/v0.11.0/CHANGELOG) for the full list of changes in v0.11.0.
",https://api.github.com/users/bacongobbler,1360539,bacongobbler,https://api.github.com/repos/kelseyhightower/confd/releases/2214469/assets,https://api.github.com/repos/kelseyhightower/confd/releases/2214469,master,https://api.github.com/repos/kelseyhightower/confd/tarball/v0.11.0,https://github.com/kelseyhightower/confd/releases/tag/v0.11.0,https://api.github.com/repos/kelseyhightower/confd/zipball/v0.11.0,v0.11.0,False,False
1438631,2015-06-19T17:21:14Z,2015-06-19T17:46:02Z,,"This release introduces a couple of new changes, some including:
- a new `contains` function
- DynamoDB support as a backend
- switched to `gb` for building confd

Please see the [CHANGELOG](https://github.com/kelseyhightower/confd/blob/master/CHANGELOG) for the full list of changes in v0.10.0.
",https://api.github.com/users/bacongobbler,1360539,bacongobbler,https://api.github.com/repos/kelseyhightower/confd/releases/1438631/assets,https://api.github.com/repos/kelseyhightower/confd/releases/1438631,master,https://api.github.com/repos/kelseyhightower/confd/tarball/v0.10.0,https://github.com/kelseyhightower/confd/releases/tag/v0.10.0,https://api.github.com/repos/kelseyhightower/confd/zipball/v0.10.0,v0.10.0,False,False
1148023,2015-04-10T02:48:30Z,2015-04-10T03:00:00Z,v0.9.0,"This release of confd includes the following:
- added backend support for Redis
- added `--log-level` flag
- added scripts for building, testing and installing confd
- added MAINTAINERS and CONTRIBUTING files to help newer contributors
- improved test coverage on travis, including integration tests
- numerous bug fixes to etcd's `--watch` flag

Note that this release deprecates the following flags in favour of `--log-level`:
- `--debug`
- `--quiet`
- `--verbose`

Please see CHANGELOG for more information.
",https://api.github.com/users/bacongobbler,1360539,bacongobbler,https://api.github.com/repos/kelseyhightower/confd/releases/1148023/assets,https://api.github.com/repos/kelseyhightower/confd/releases/1148023,master,https://api.github.com/repos/kelseyhightower/confd/tarball/v0.9.0,https://github.com/kelseyhightower/confd/releases/tag/v0.9.0,https://api.github.com/repos/kelseyhightower/confd/zipball/v0.9.0,v0.9.0,False,False
1039283,2015-03-11T17:43:02Z,2015-03-11T17:50:33Z,v0.8.0,"This release of confd includes experimental support for ZooKeeper as a backend and pings the go-etcd client to v.0.4.6 in order to support both etcd 0.4.x and 2.0.x
",https://api.github.com/users/kelseyhightower,1123322,kelseyhightower,https://api.github.com/repos/kelseyhightower/confd/releases/1039283/assets,https://api.github.com/repos/kelseyhightower/confd/releases/1039283,master,https://api.github.com/repos/kelseyhightower/confd/tarball/v0.8.0,https://github.com/kelseyhightower/confd/releases/tag/v0.8.0,https://api.github.com/repos/kelseyhightower/confd/zipball/v0.8.0,v0.8.0,False,False
766749,2014-12-09T06:46:56Z,2014-12-09T06:53:38Z,v0.7.1,"This is a bug fix release to address the issue where confd held on to deleted and expired keys.
",https://api.github.com/users/kelseyhightower,1123322,kelseyhightower,https://api.github.com/repos/kelseyhightower/confd/releases/766749/assets,https://api.github.com/repos/kelseyhightower/confd/releases/766749,master,https://api.github.com/repos/kelseyhightower/confd/tarball/v0.7.1,https://github.com/kelseyhightower/confd/releases/tag/v0.7.1,https://api.github.com/repos/kelseyhightower/confd/zipball/v0.7.1,v0.7.1,False,False
766610,2014-12-07T22:18:54Z,2014-12-09T05:07:08Z,v0.7.0,"The version of confd includes watch support for both the etcd and consul backends.

New template functions:
- getenv
",https://api.github.com/users/kelseyhightower,1123322,kelseyhightower,https://api.github.com/repos/kelseyhightower/confd/releases/766610/assets,https://api.github.com/repos/kelseyhightower/confd/releases/766610,master,https://api.github.com/repos/kelseyhightower/confd/tarball/v0.7.0,https://github.com/kelseyhightower/confd/releases/tag/v0.7.0,https://api.github.com/repos/kelseyhightower/confd/zipball/v0.7.0,v0.7.0,False,False
654013,2014-10-26T01:11:32Z,2014-10-26T01:20:24Z,v0.7.0-beta1,"This release of confd adds watch support for both consul and etcd backends. There is also a new `exists` template function.
",https://api.github.com/users/kelseyhightower,1123322,kelseyhightower,https://api.github.com/repos/kelseyhightower/confd/releases/654013/assets,https://api.github.com/repos/kelseyhightower/confd/releases/654013,master,https://api.github.com/repos/kelseyhightower/confd/tarball/v0.7.0-beta1,https://github.com/kelseyhightower/confd/releases/tag/v0.7.0-beta1,https://api.github.com/repos/kelseyhightower/confd/zipball/v0.7.0-beta1,v0.7.0-beta1,False,True
