id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
7994261,2017-10-04T12:53:03Z,2017-10-04T14:00:38Z,Joomla! 3.8.1,"- New Joomla! Installations [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.1/Joomla_3.8.1-Stable-Full_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.1/Joomla_3.8.1-Stable-Full_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.1/Joomla_3.8.1-Stable-Full_Package.zip)
- Update from Joomla! 3.8.0 [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.1/Joomla_3.8.x_to_3.8.1-Stable-Patch_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.1/Joomla_3.8.x_to_3.8.1-Stable-Patch_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.1/Joomla_3.8.x_to_3.8.1-Stable-Patch_Package.zip)
- Update from Joomla! 2.5 or previous 3.x releases [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.1/Joomla_3.8.1-Stable-Update_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.1/Joomla_3.8.1-Stable-Update_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.1/Joomla_3.8.1-Stable-Update_Package.zip)",https://api.github.com/users/mbabker,368545,mbabker,https://api.github.com/repos/joomla/joomla-cms/releases/7994261/assets,https://api.github.com/repos/joomla/joomla-cms/releases/7994261,staging,https://api.github.com/repos/joomla/joomla-cms/tarball/3.8.1,https://github.com/joomla/joomla-cms/releases/tag/3.8.1,https://api.github.com/repos/joomla/joomla-cms/zipball/3.8.1,3.8.1,False,False
7951984,2017-09-30T14:55:36Z,2017-09-30T15:02:28Z,Joomla! 3.8.1 Release Candidate,"- New Joomla! Installations [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.1-rc/Joomla_3.8.1-rc-Release_Candidate-Full_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.1-rc/Joomla_3.8.1-rc-Release_Candidate-Full_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.1-rc/Joomla_3.8.1-rc-Release_Candidate-Full_Package.zip)
- Update from Joomla! 3.8.0 [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.1-rc/Joomla_3.8.x_to_3.8.1-rc-Release_Candidate-Patch_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.1-rc/Joomla_3.8.x_to_3.8.1-rc-Release_Candidate-Patch_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.1-rc/Joomla_3.8.x_to_3.8.1-rc-Release_Candidate-Patch_Package.zip)
- Update from Joomla! 2.5 or previous 3.x releases [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.1-rc/Joomla_3.8.1-rc-Release_Candidate-Update_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.1-rc/Joomla_3.8.1-rc-Release_Candidate-Update_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.1-rc/Joomla_3.8.1-rc-Release_Candidate-Update_Package.zip)",https://api.github.com/users/mbabker,368545,mbabker,https://api.github.com/repos/joomla/joomla-cms/releases/7951984/assets,https://api.github.com/repos/joomla/joomla-cms/releases/7951984,staging,https://api.github.com/repos/joomla/joomla-cms/tarball/3.8.1-rc,https://github.com/joomla/joomla-cms/releases/tag/3.8.1-rc,https://api.github.com/repos/joomla/joomla-cms/zipball/3.8.1-rc,3.8.1-rc,False,True
7847820,2017-09-19T13:00:24Z,2017-09-21T23:09:47Z,Joomla! 3.8.0,"- New Joomla! Installations [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.0/Joomla_3.8.0-Stable-Full_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.0/Joomla_3.8.0-Stable-Full_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.0/Joomla_3.8.0-Stable-Full_Package.zip)
- Update from Joomla! 2.5 or previous 3.x releases [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.0/Joomla_3.8.0-Stable-Update_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.0/Joomla_3.8.0-Stable-Update_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.0/Joomla_3.8.0-Stable-Update_Package.zip)",https://api.github.com/users/mbabker,368545,mbabker,https://api.github.com/repos/joomla/joomla-cms/releases/7847820/assets,https://api.github.com/repos/joomla/joomla-cms/releases/7847820,staging,https://api.github.com/repos/joomla/joomla-cms/tarball/3.8.0,https://github.com/joomla/joomla-cms/releases/tag/3.8.0,https://api.github.com/repos/joomla/joomla-cms/zipball/3.8.0,3.8.0,False,False
7637299,2017-09-05T11:44:33Z,2017-09-05T12:58:01Z,Joomla! 3.8 Release Candidate,"- New Joomla! Installations [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.0-rc1/Joomla_3.8.0-rc1-Release_Candidate-Full_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.0-rc1/Joomla_3.8.0-rc1-Release_Candidate-Full_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.0-rc1/Joomla_3.8.0-rc1-Release_Candidate-Full_Package.zip)
- Update from Joomla! 2.5 or previous 3.x releases [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.0-rc1/Joomla_3.8.0-rc1-Release_Candidate-Update_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.0-rc1/Joomla_3.8.0-rc1-Release_Candidate-Update_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.0-rc1/Joomla_3.8.0-rc1-Release_Candidate-Update_Package.zip)",https://api.github.com/users/mbabker,368545,mbabker,https://api.github.com/repos/joomla/joomla-cms/releases/7637299/assets,https://api.github.com/repos/joomla/joomla-cms/releases/7637299,staging,https://api.github.com/repos/joomla/joomla-cms/tarball/3.8.0-rc1,https://github.com/joomla/joomla-cms/releases/tag/3.8.0-rc1,https://api.github.com/repos/joomla/joomla-cms/zipball/3.8.0-rc1,3.8.0-rc1,False,True
7556362,2017-08-29T12:06:34Z,2017-08-29T12:25:56Z,Joomla! 3.8 Beta 4,"- New Joomla! Installations [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta4/Joomla_3.8.0-beta4-Beta-Full_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta4/Joomla_3.8.0-beta4-Beta-Full_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta4/Joomla_3.8.0-beta4-Beta-Full_Package.zip)
- Update from Joomla! 2.5 or previous 3.x releases [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta4/Joomla_3.8.0-beta4-Beta-Update_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta4/Joomla_3.8.0-beta4-Beta-Update_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta4/Joomla_3.8.0-beta4-Beta-Update_Package.zip)",https://api.github.com/users/mbabker,368545,mbabker,https://api.github.com/repos/joomla/joomla-cms/releases/7556362/assets,https://api.github.com/repos/joomla/joomla-cms/releases/7556362,staging,https://api.github.com/repos/joomla/joomla-cms/tarball/3.8.0-beta4,https://github.com/joomla/joomla-cms/releases/tag/3.8.0-beta4,https://api.github.com/repos/joomla/joomla-cms/zipball/3.8.0-beta4,3.8.0-beta4,False,True
7476957,2017-08-22T12:14:58Z,2017-08-22T12:27:12Z,Joomla! 3.8 Beta 3,"- New Joomla! Installations [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta3/Joomla_3.8.0-beta3-Beta-Full_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta3/Joomla_3.8.0-beta3-Beta-Full_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta3/Joomla_3.8.0-beta3-Beta-Full_Package.zip)
- Update from Joomla! 2.5 or previous 3.x releases [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta3/Joomla_3.8.0-beta3-Beta-Update_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta3/Joomla_3.8.0-beta3-Beta-Update_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta3/Joomla_3.8.0-beta3-Beta-Update_Package.zip)",https://api.github.com/users/mbabker,368545,mbabker,https://api.github.com/repos/joomla/joomla-cms/releases/7476957/assets,https://api.github.com/repos/joomla/joomla-cms/releases/7476957,staging,https://api.github.com/repos/joomla/joomla-cms/tarball/3.8.0-beta3,https://github.com/joomla/joomla-cms/releases/tag/3.8.0-beta3,https://api.github.com/repos/joomla/joomla-cms/zipball/3.8.0-beta3,3.8.0-beta3,False,True
7429344,2017-08-14T11:10:46Z,2017-08-17T17:55:15Z,Joomla! 3.7.5,"- New Joomla! Installations [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.5/Joomla_3.7.5-Stable-Full_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.5/Joomla_3.7.5-Stable-Full_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.5/Joomla_3.7.5-Stable-Full_Package.zip)
- Update from Joomla! 3.7.4 [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.5/Joomla_3.7.4_to_3.7.5-Stable-Patch_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.5/Joomla_3.7.4_to_3.7.5-Stable-Patch_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.5/Joomla_3.7.4_to_3.7.5-Stable-Patch_Package.zip)
- Update from Joomla! 3.7.x [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.5/Joomla_3.7.x_to_3.7.5-Stable-Patch_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.5/Joomla_3.7.x_to_3.7.5-Stable-Patch_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.5/Joomla_3.7.x_to_3.7.5-Stable-Patch_Package.zip)
- Update from Joomla! 2.5, 3.0, 3.1, 3.2, 3.3, 3.4, 3.5 or 3.6 [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.5/Joomla_3.7.5-Stable-Update_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.5/Joomla_3.7.5-Stable-Update_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.5/Joomla_3.7.5-Stable-Update_Package.zip)
",https://api.github.com/users/rdeutz,467356,rdeutz,https://api.github.com/repos/joomla/joomla-cms/releases/7429344/assets,https://api.github.com/repos/joomla/joomla-cms/releases/7429344,3.7.4-release,https://api.github.com/repos/joomla/joomla-cms/tarball/3.7.5,https://github.com/joomla/joomla-cms/releases/tag/3.7.5,https://api.github.com/repos/joomla/joomla-cms/zipball/3.7.5,3.7.5,False,False
7396722,2017-08-15T12:24:24Z,2017-08-15T12:50:06Z,Joomla! 3.8 Beta 2,"- New Joomla! Installations [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta2/Joomla_3.8.0-beta2-Beta-Full_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta2/Joomla_3.8.0-beta2-Beta-Full_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta2/Joomla_3.8.0-beta2-Beta-Full_Package.zip)
- Update from Joomla! 2.5 or previous 3.x releases [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta2/Joomla_3.8.0-beta2-Beta-Update_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta2/Joomla_3.8.0-beta2-Beta-Update_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta2/Joomla_3.8.0-beta2-Beta-Update_Package.zip)",https://api.github.com/users/mbabker,368545,mbabker,https://api.github.com/repos/joomla/joomla-cms/releases/7396722/assets,https://api.github.com/repos/joomla/joomla-cms/releases/7396722,staging,https://api.github.com/repos/joomla/joomla-cms/tarball/3.8.0-beta2,https://github.com/joomla/joomla-cms/releases/tag/3.8.0-beta2,https://api.github.com/repos/joomla/joomla-cms/zipball/3.8.0-beta2,3.8.0-beta2,False,True
7318111,2017-08-08T11:56:04Z,2017-08-08T13:36:38Z,Joomla! 3.8 Beta,"- New Joomla! Installations [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta1/Joomla_3.8.0-beta1-Beta-Full_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta1/Joomla_3.8.0-beta1-Beta-Full_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta1/Joomla_3.8.0-beta1-Beta-Full_Package.zip)
- Update from Joomla! 2.5 or previous 3.x releases [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta1/Joomla_3.8.0-beta1-Beta-Update_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta1/Joomla_3.8.0-beta1-Beta-Update_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.8.0-beta1/Joomla_3.8.0-beta1-Beta-Update_Package.zip)",https://api.github.com/users/mbabker,368545,mbabker,https://api.github.com/repos/joomla/joomla-cms/releases/7318111/assets,https://api.github.com/repos/joomla/joomla-cms/releases/7318111,staging,https://api.github.com/repos/joomla/joomla-cms/tarball/3.8.0-beta1,https://github.com/joomla/joomla-cms/releases/tag/3.8.0-beta1,https://api.github.com/repos/joomla/joomla-cms/zipball/3.8.0-beta1,3.8.0-beta1,False,True
7160431,2017-07-25T10:20:08Z,2017-07-25T15:07:40Z,Joomla! 3.7.4,"
- New Joomla! Installations [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.4/Joomla_3.7.4-Stable-Full_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.4/Joomla_3.7.4-Stable-Full_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.4/Joomla_3.7.4-Stable-Full_Package.zip)
- Update from Joomla! 3.7.3 [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.4/Joomla_3.7.3_to_3.7.4-Stable-Patch_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.4/Joomla_3.7.3_to_3.7.4-Stable-Patch_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.4/Joomla_3.7.3_to_3.7.4-Stable-Patch_Package.zip)
- Update from Joomla! 3.7.x [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.4/Joomla_3.7.x_to_3.7.4-Stable-Patch_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.4/Joomla_3.7.x_to_3.7.4-Stable-Patch_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.4/Joomla_3.7.x_to_3.7.4-Stable-Patch_Package.zip)
- Update from Joomla! 2.5, 3.0, 3.1, 3.2, 3.3, 3.4, 3.5 or 3.6 [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.4/Joomla_3.7.4-Stable-Update_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.4/Joomla_3.7.4-Stable-Update_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.4/Joomla_3.7.4-Stable-Update_Package.zip)
",https://api.github.com/users/rdeutz,467356,rdeutz,https://api.github.com/repos/joomla/joomla-cms/releases/7160431/assets,https://api.github.com/repos/joomla/joomla-cms/releases/7160431,staging,https://api.github.com/repos/joomla/joomla-cms/tarball/3.7.4,https://github.com/joomla/joomla-cms/releases/tag/3.7.4,https://api.github.com/repos/joomla/joomla-cms/zipball/3.7.4,3.7.4,False,False
7080220,2017-07-18T13:11:33Z,2017-07-18T15:07:37Z,Joomla! 3.7.4 Release Candidate 1,"- New Joomla! Installations [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.4-rc1/Joomla_3.7.4-rc1-Release_Candidate-Full_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.4-rc1/Joomla_3.7.4-rc1-Release_Candidate-Full_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.4-rc1/Joomla_3.7.4-rc1-Release_Candidate-Full_Package.zip)
- Update from Joomla! 2.5, or any 3.x release [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.4-rc1/Joomla_3.7.4-rc1-Release_Candidate-Update_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.4-rc1/Joomla_3.7.4-rc1-Release_Candidate-Update_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.4-rc1/Joomla_3.7.4-rc1-Release_Candidate-Update_Package.zip)",https://api.github.com/users/rdeutz,467356,rdeutz,https://api.github.com/repos/joomla/joomla-cms/releases/7080220/assets,https://api.github.com/repos/joomla/joomla-cms/releases/7080220,staging,https://api.github.com/repos/joomla/joomla-cms/tarball/3.7.4-rc1,https://github.com/joomla/joomla-cms/releases/tag/3.7.4-rc1,https://api.github.com/repos/joomla/joomla-cms/zipball/3.7.4-rc1,3.7.4-rc1,False,True
7001303,2017-07-11T15:42:31Z,2017-07-11T15:54:46Z,Joomla 3.7.4 Beta 1,"## Release Note

- New Joomla! Installations [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.1-beta1/Joomla_3.7.1-beta1-Beta-Full_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.1-beta1/Joomla_3.7.1-beta1-Beta-Full_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.1-beta1/Joomla_3.7.1-beta1-Beta-Full_Package.zip)
- Update from Joomla! 2.5, or any 3.x release [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.1-beta1/Joomla_3.7.1-beta1-Beta-Update_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.1-beta1/Joomla_3.7.1-beta1-Beta-Update_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.1-beta1/Joomla_3.7.1-beta1-Beta-Update_Package.zip)
",https://api.github.com/users/rdeutz,467356,rdeutz,https://api.github.com/repos/joomla/joomla-cms/releases/7001303/assets,https://api.github.com/repos/joomla/joomla-cms/releases/7001303,staging,https://api.github.com/repos/joomla/joomla-cms/tarball/3.7.4-beta1,https://github.com/joomla/joomla-cms/releases/tag/3.7.4-beta1,https://api.github.com/repos/joomla/joomla-cms/zipball/3.7.4-beta1,3.7.4-beta1,False,True
6924285,2017-07-04T07:04:12Z,2017-07-04T12:53:48Z,Joomla! 3.7.3,"
- New Joomla! Installations [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.3/Joomla_3.7.3-Stable-Full_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.3/Joomla_3.7.3-Stable-Full_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.3/Joomla_3.7.3-Stable-Full_Package.zip)
- Update from Joomla! 3.7.2 [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.3/Joomla_3.7.2_to_3.7.3-Stable-Patch_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.3/Joomla_3.7.2_to_3.7.3-Stable-Patch_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.3/Joomla_3.7.2_to_3.7.3-Stable-Patch_Package.zip)
- Update from Joomla! 3.7.x [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.3/Joomla_3.7.x_to_3.7.3-Stable-Patch_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.3/Joomla_3.7.x_to_3.7.3-Stable-Patch_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.3/Joomla_3.7.x_to_3.7.3-Stable-Patch_Package.zip)
- Update from Joomla! 2.5, 3.0, 3.1, 3.2, 3.3, 3.4, 3.5 or 3.6 [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.3/Joomla_3.7.3-Stable-Update_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.3/Joomla_3.7.3-Stable-Update_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.3/Joomla_3.7.3-Stable-Update_Package.zip)
",https://api.github.com/users/rdeutz,467356,rdeutz,https://api.github.com/repos/joomla/joomla-cms/releases/6924285/assets,https://api.github.com/repos/joomla/joomla-cms/releases/6924285,staging,https://api.github.com/repos/joomla/joomla-cms/tarball/3.7.3,https://github.com/joomla/joomla-cms/releases/tag/3.7.3,https://api.github.com/repos/joomla/joomla-cms/zipball/3.7.3,3.7.3,False,False
6866654,2017-06-28T15:58:53Z,2017-06-28T16:09:23Z,Joomla! 3.7.3 Release Candidate 2,"- New Joomla! Installations [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.3-rc2/Joomla_3.7.3-rc2-Release_Candidate-Full_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.3-rc2/Joomla_3.7.3-rc2-Release_Candidate-Full_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.3-rc2/Joomla_3.7.3-rc2-Release_Candidate-Full_Package.zip)
- Update from Joomla! 2.5, or any 3.x release [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.3-rc2/Joomla_3.7.3-rc2-Release_Candidate-Update_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.3-rc2/Joomla_3.7.3-rc2-Release_Candidate-Update_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.3-rc2/Joomla_3.7.3-rc2-Release_Candidate-Update_Package.zip)",https://api.github.com/users/rdeutz,467356,rdeutz,https://api.github.com/repos/joomla/joomla-cms/releases/6866654/assets,https://api.github.com/repos/joomla/joomla-cms/releases/6866654,staging,https://api.github.com/repos/joomla/joomla-cms/tarball/3.7.3-rc2,https://github.com/joomla/joomla-cms/releases/tag/3.7.3-rc2,https://api.github.com/repos/joomla/joomla-cms/zipball/3.7.3-rc2,3.7.3-rc2,False,True
6791702,2017-06-21T19:05:14Z,2017-06-21T19:18:07Z,Joomla! 3.7.3 Release Candidate 1,"- New Joomla! Installations [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.3-rc1/Joomla_3.7.3-rc1-Release_Candidate-Full_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.3-rc1/Joomla_3.7.3-rc1-Release_Candidate-Full_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.3-rc1/Joomla_3.7.3-rc1-Release_Candidate-Full_Package.zip)
- Update from Joomla! 2.5, or any 3.x release [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.3-rc1/Joomla_3.7.3-rc1-Release_Candidate-Update_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.3-rc1/Joomla_3.7.3-rc1-Release_Candidate-Update_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.3-rc1/Joomla_3.7.3-rc1-Release_Candidate-Update_Package.zip)
",https://api.github.com/users/rdeutz,467356,rdeutz,https://api.github.com/repos/joomla/joomla-cms/releases/6791702/assets,https://api.github.com/repos/joomla/joomla-cms/releases/6791702,staging,https://api.github.com/repos/joomla/joomla-cms/tarball/3.7.3-rc1,https://github.com/joomla/joomla-cms/releases/tag/3.7.3-rc1,https://api.github.com/repos/joomla/joomla-cms/zipball/3.7.3-rc1,3.7.3-rc1,False,True
6698372,2017-06-13T16:04:33Z,2017-06-13T16:20:26Z,Joomla 3.7.3 Beta 1,"## Release Note
- New Joomla! Installations [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.3-beta1/Joomla_3.7.3-beta1-Beta-Full_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.3-beta1/Joomla_3.7.3-beta1-Beta-Full_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.3-beta1/Joomla_3.7.3-beta1-Beta-Full_Package.zip)
- Update from Joomla! 2.5, or any 3.x release [.tar.bz2](https://github.com/joomla/joomla-cms/releases/download/3.7.3-beta1/Joomla_3.7.3-beta1-Beta-Update_Package.tar.bz2) | [.tar.gz](https://github.com/joomla/joomla-cms/releases/download/3.7.3-beta1/Joomla_3.7.3-beta1-Beta-Update_Package.tar.gz) | [.zip](https://github.com/joomla/joomla-cms/releases/download/3.7.3-beta1/Joomla_3.7.3-beta1-Beta-Update_Package.zip)
",https://api.github.com/users/rdeutz,467356,rdeutz,https://api.github.com/repos/joomla/joomla-cms/releases/6698372/assets,https://api.github.com/repos/joomla/joomla-cms/releases/6698372,staging,https://api.github.com/repos/joomla/joomla-cms/tarball/3.7.3-beta1,https://github.com/joomla/joomla-cms/releases/tag/3.7.3-beta1,https://api.github.com/repos/joomla/joomla-cms/zipball/3.7.3-beta1,3.7.3-beta1,False,True
